Density,Interference,Sociality,residence_time,std_residence_time,mean_expected_consumption_rate,std_expected_consumption_rate,Replicate
0.4,0.1,0,1.040735623,0.026165071,0.893909255,0.009739137,51
0.4,0.1,0,1.041176356,0.026575576,0.894355729,0.009732351,52
0.4,0.1,0,1.040524363,0.026399295,0.893701213,0.009735175,53
0.4,0.1,0,1.042616327,0.027222087,0.892788179,0.00975387,54
0.4,0.1,0,1.041175142,0.026321292,0.89330193,0.009715423,55
0.4,0.1,0,1.041352407,0.026949688,0.894493738,0.009773108,56
0.4,0.1,0,1.040195331,0.026226796,0.895472147,0.0097668,57
0.4,0.1,0,1.039710889,0.02618686,0.895249519,0.00971166,58
0.4,0.1,0,1.041064655,0.026503836,0.894515248,0.009767582,59
0.4,0.1,0,1.040978451,0.026501535,0.893662171,0.009784469,60
0.4,0.1,0.5,1.192756924,0.054269364,0.869197857,0.010358833,51
0.4,0.1,0.5,1.205534537,0.056056573,0.860862123,0.011153525,52
0.4,0.1,0.5,1.187860296,0.052796641,0.873097851,0.010910405,53
0.4,0.1,0.5,1.187933145,0.053687382,0.873178094,0.010829227,54
0.4,0.1,0.5,1.208907419,0.056071773,0.870080644,0.011029243,55
0.4,0.1,0.5,1.179651493,0.052132985,0.877905076,0.01066958,56
0.4,0.1,0.5,1.20558796,0.055787877,0.868935521,0.010746226,57
0.4,0.1,0.5,1.195825057,0.054975771,0.869735103,0.011580724,58
0.4,0.1,0.5,1.163842171,0.049056941,0.873549038,0.010286835,59
0.4,0.1,0.5,1.190471912,0.054225816,0.870395794,0.011708506,60
0.4,0.1,1,1.210068138,0.05803205,0.864389849,0.0123745,51
0.4,0.1,1,1.211088015,0.058762201,0.859412239,0.012658137,52
0.4,0.1,1,1.226104503,0.059932314,0.855937036,0.01048202,53
0.4,0.1,1,1.225096767,0.061478145,0.865499328,0.012529769,54
0.4,0.1,1,1.22240259,0.058652985,0.860323245,0.01060341,55
0.4,0.1,1,1.222516719,0.059314245,0.860115944,0.012041846,56
0.4,0.1,1,1.225894457,0.060982857,0.854755249,0.01443527,57
0.4,0.1,1,1.214352839,0.058408084,0.863301934,0.012724875,58
0.4,0.1,1,1.183240492,0.053754482,0.871717053,0.010061476,59
0.4,0.1,1,1.215067968,0.057655663,0.860520999,0.012190996,60
0.4,0.5,0,1.000021855,0.015116762,0.893515471,0.009734107,51
0.4,0.5,0,1.000026711,0.015118463,0.894361886,0.009769091,52
0.4,0.5,0,1.00002064,0.015116336,0.895127298,0.009757977,53
0.4,0.5,0,1.000016998,0.015115059,0.893225622,0.009697663,54
0.4,0.5,0,1.000030354,0.015119738,0.892488636,0.009718607,55
0.4,0.5,0,1.000016998,0.015115059,0.894714522,0.009776565,56
0.4,0.5,0,1.000030354,0.015119738,0.894421555,0.009796215,57
0.4,0.5,0,1.000018212,0.015115485,0.894118152,0.009716293,58
0.4,0.5,0,1.000021855,0.015116762,0.894960263,0.009695561,59
0.4,0.5,0,1.000016998,0.015115059,0.89439021,0.009762459,60
0.4,0.5,0.5,1.086349663,0.036606008,0.853146892,0.011830835,51
0.4,0.5,0.5,1.084594016,0.036263042,0.860457553,0.011148141,52
0.4,0.5,0.5,1.087255411,0.036687103,0.848882799,0.014735703,53
0.4,0.5,0.5,1.091140661,0.037302786,0.848383213,0.013778164,54
0.4,0.5,0.5,1.08349279,0.036298602,0.85440982,0.013055114,55
0.4,0.5,0.5,1.081752927,0.035332332,0.855328741,0.011826481,56
0.4,0.5,0.5,1.084619513,0.035898747,0.857279015,0.011131639,57
0.4,0.5,0.5,1.071822473,0.034155156,0.864557054,0.010888913,58
0.4,0.5,0.5,1.085293361,0.036233395,0.843370746,0.012560064,59
0.4,0.5,0.5,1.096242478,0.038362959,0.847655802,0.012895951,60
0.4,0.5,1,1.112431826,0.041989874,0.850445915,0.014062628,51
0.4,0.5,1,1.149312554,0.047811423,0.824599369,0.011265693,52
0.4,0.5,1,1.137826786,0.045479017,0.819370393,0.016668029,53
0.4,0.5,1,1.13729135,0.045257173,0.820656516,0.017762488,54
0.4,0.5,1,1.152610159,0.048251677,0.832942903,0.010720002,55
0.4,0.5,1,1.141637972,0.045807382,0.829260198,0.015223147,56
0.4,0.5,1,1.153631251,0.047694739,0.820137005,0.015069109,57
0.4,0.5,1,1.139797336,0.046287607,0.834229145,0.012055994,58
0.4,0.5,1,1.151223611,0.047174392,0.826690098,0.015871073,59
0.4,0.5,1,1.138789599,0.046288633,0.829825656,0.015751536,60
0.4,1,0,1,0.015109085,0.893577142,0.009713552,51
0.4,1,0,1,0.015109085,0.894151124,0.009732872,52
0.4,1,0,1,0.015109085,0.894409314,0.009809857,53
0.4,1,0,1,0.015109085,0.892801182,0.009698979,54
0.4,1,0,1,0.015109085,0.892917854,0.009696231,55
0.4,1,0,1,0.015109085,0.893768464,0.0097041,56
0.4,1,0,1,0.015109085,0.894287067,0.00978736,57
0.4,1,0,1,0.015109085,0.89333844,0.009743141,58
0.4,1,0,1,0.015109085,0.893339949,0.009726013,59
0.4,1,0,1,0.015109085,0.893084123,0.009746634,60
0.4,1,0.5,1.031282326,0.024646496,0.858500328,0.010981904,51
0.4,1,0.5,1.034775408,0.02589841,0.859400421,0.012257463,52
0.4,1,0.5,1.033754316,0.025781065,0.857157448,0.012524231,53
0.4,1,0.5,1.034599358,0.025581378,0.854811125,0.011859096,54
0.4,1,0.5,1.03425697,0.026540333,0.859314938,0.012650832,55
0.4,1,0.5,1.02653868,0.024583055,0.865490285,0.012808731,56
0.4,1,0.5,1.038278203,0.027137107,0.850376838,0.013975264,57
0.4,1,0.5,1.035407975,0.025882903,0.856876778,0.012288043,58
0.4,1,0.5,1.043186973,0.028403484,0.848490441,0.013298742,59
0.4,1,0.5,1.033907298,0.025852771,0.859617294,0.011248204,60
0.4,1,1,1.095269952,0.038410196,0.816936114,0.013695618,51
0.4,1,1,1.104899299,0.039984828,0.81729057,0.014511916,52
0.4,1,1,1.093208342,0.038224336,0.809401071,0.0226995,53
0.4,1,1,1.083775685,0.036752618,0.819282734,0.016011483,54
0.4,1,1,1.09172709,0.038288559,0.825427788,0.014340227,55
0.4,1,1,1.106457041,0.03989281,0.818562123,0.012265768,56
0.4,1,1,1.096227909,0.038329795,0.818162341,0.012308425,57
0.4,1,1,1.091212295,0.03760555,0.824182219,0.014015622,58
0.4,1,1,1.098402434,0.038906179,0.815068356,0.018242038,59
0.4,1,1,1.108041494,0.040097335,0.80053566,0.012174475,60
2,0.1,0,1.043319012,0.018398039,0.886090969,0.010522942,51
2,0.1,0,1.043268448,0.018444383,0.885797688,0.010498896,52
2,0.1,0,1.043750006,0.018559988,0.885236188,0.010531454,53
2,0.1,0,1.043613725,0.018564562,0.885796647,0.010481656,54
2,0.1,0,1.04448703,0.018564157,0.884803114,0.01062765,55
2,0.1,0,1.043326717,0.018438527,0.885680131,0.010535443,56
2,0.1,0,1.043419417,0.01844804,0.88514162,0.010435094,57
2,0.1,0,1.043449032,0.018468632,0.886201539,0.010533155,58
2,0.1,0,1.044108767,0.018700544,0.884699282,0.01048093,59
2,0.1,0,1.043632747,0.018430672,0.885402412,0.010586638,60
2,0.1,0.5,1.162275823,0.033797285,0.839519517,0.015198402,51
2,0.1,0.5,1.166344264,0.032552966,0.848678835,0.014987281,52
2,0.1,0.5,1.165083786,0.034011988,0.843331775,0.015612212,53
2,0.1,0.5,1.160259059,0.03493903,0.846572452,0.016998463,54
2,0.1,0.5,1.169268523,0.034185868,0.848128609,0.015257441,55
2,0.1,0.5,1.166044735,0.032947668,0.845938427,0.015531966,56
2,0.1,0.5,1.162685388,0.032443702,0.846559275,0.01500733,57
2,0.1,0.5,1.164397566,0.034694975,0.846137518,0.016117856,58
2,0.1,0.5,1.159181092,0.03482549,0.840876428,0.015783714,59
2,0.1,0.5,1.161856145,0.031562834,0.846602315,0.014906581,60
2,0.1,1,1.223666253,0.03022087,0.839592649,0.015042733,51
2,0.1,1,1.210600387,0.034671329,0.831312199,0.015916625,52
2,0.1,1,1.211880849,0.034523343,0.830163468,0.01700117,53
2,0.1,1,1.198785608,0.032909447,0.833995186,0.016463892,54
2,0.1,1,1.209311257,0.033595962,0.833519034,0.016133129,55
2,0.1,1,1.206962218,0.033463247,0.829661048,0.017059813,56
2,0.1,1,1.218301941,0.032934447,0.834082037,0.016462636,57
2,0.1,1,1.223115592,0.032167648,0.835970393,0.014957938,58
2,0.1,1,1.206505942,0.034405862,0.8296533,0.016053816,59
2,0.1,1,1.198117205,0.034839164,0.831633157,0.016914487,60
2,0.5,0,1.000068622,0.015113921,0.884534896,0.010495614,51
2,0.5,0,1.000066696,0.015113594,0.885709439,0.010422711,52
2,0.5,0,1.000063325,0.015113474,0.886336671,0.010468805,53
2,0.5,0,1.000075123,0.015114445,0.885831623,0.010404936,54
2,0.5,0,1.000088366,0.015115264,0.883857903,0.010455321,55
2,0.5,0,1.000073197,0.01511432,0.885932401,0.010396856,56
2,0.5,0,1.000064288,0.015113537,0.886038321,0.010503644,57
2,0.5,0,1.000076808,0.015114353,0.884191512,0.010476628,58
2,0.5,0,1.000065973,0.015113815,0.885596912,0.010494619,59
2,0.5,0,1.000065733,0.015113665,0.884807782,0.0104851,60
2,0.5,0.5,1.088289526,0.021718398,0.813271619,0.019252801,51
2,0.5,0.5,1.092733582,0.02208716,0.811635042,0.019957922,52
2,0.5,0.5,1.08893385,0.021771451,0.811408156,0.018951688,53
2,0.5,0.5,1.090601003,0.021840121,0.814349958,0.01750279,54
2,0.5,0.5,1.088509839,0.021872602,0.814196253,0.020333804,55
2,0.5,0.5,1.093034796,0.022129891,0.809281789,0.021090474,56
2,0.5,0.5,1.08898008,0.021731564,0.815269022,0.016182724,57
2,0.5,0.5,1.088828871,0.021812122,0.812394825,0.018792673,58
2,0.5,0.5,1.088533676,0.021896154,0.816983488,0.016075435,59
2,0.5,0.5,1.092880216,0.022153013,0.811784951,0.017409053,60
