rounded_patch,mean_visit,sd_visit,sociality,density,interference
1,NA,NA,0,0.4,0.1
1.1,0,NA,0,0.4,0.1
1.2,0,NA,0,0.4,0.1
1.3,0,0,0,0.4,0.1
1.4,NA,NA,0,0.4,0.1
1.5,0,0,0,0.4,0.1
1.6,0,0,0,0.4,0.1
1.7,0,0,0,0.4,0.1
1.8,0,0,0,0.4,0.1
1.9,0,0,0,0.4,0.1
2,0,0,0,0.4,0.1
2.1,0,0,0,0.4,0.1
2.2,0,0,0,0.4,0.1
2.3,0,0,0,0.4,0.1
2.4,0,0,0,0.4,0.1
2.5,0,0,0,0.4,0.1
2.6,0,0,0,0.4,0.1
2.7,0,0,0,0.4,0.1
2.8,0,0,0,0.4,0.1
2.9,0,0,0,0.4,0.1
3,0,0,0,0.4,0.1
3.1,0.002638522,0.05136655,0,0.4,0.1
3.2,0,0,0,0.4,0.1
3.3,0.003278689,0.057212803,0,0.4,0.1
3.4,0.004279601,0.065325134,0,0.4,0.1
3.5,0.002469136,0.049659679,0,0.4,0.1
3.6,0.006857143,0.082570663,0,0.4,0.1
3.7,0.011316872,0.105831582,0,0.4,0.1
3.8,0.013368984,0.122417899,0,0.4,0.1
3.9,0.022241232,0.147530262,0,0.4,0.1
4,0.027515047,0.163649005,0,0.4,0.1
4.1,0.035303147,0.196701008,0,0.4,0.1
4.2,0.069131833,0.28933116,0,0.4,0.1
4.3,0.089377289,0.317033504,0,0.4,0.1
4.4,0.11284599,0.342386228,0,0.4,0.1
4.5,0.179421222,0.435654716,0,0.4,0.1
4.6,0.247285887,0.548555346,0,0.4,0.1
4.7,0.363381859,0.666596008,0,0.4,0.1
4.8,0.517175573,0.841461871,0,0.4,0.1
4.9,0.731736527,1.011856024,0,0.4,0.1
5,0.944579993,1.214479734,0,0.4,0.1
5.1,1.269991148,1.465860827,0,0.4,0.1
5.2,1.703204047,1.718247032,0,0.4,0.1
5.3,2.241056572,2.168750172,0,0.4,0.1
5.4,3.080856945,2.757905173,0,0.4,0.1
5.5,4.106392625,3.399780818,0,0.4,0.1
5.6,5.41713555,4.212073825,0,0.4,0.1
5.7,7.265100671,5.394387783,0,0.4,0.1
5.8,9.516756433,6.751327088,0,0.4,0.1
5.9,12.76625783,8.702316075,0,0.4,0.1
6,17.0407309,11.31930482,0,0.4,0.1
6.1,22.97166417,14.66602306,0,0.4,0.1
6.2,30.03420306,18.9155686,0,0.4,0.1
6.3,40.68200342,25.13572378,0,0.4,0.1
6.4,54.49975406,33.09179041,0,0.4,0.1
6.5,73.88659429,45.35482218,0,0.4,0.1
6.6,99.59559583,59.79070095,0,0.4,0.1
6.7,136.9798072,85.79397869,0,0.4,0.1
6.8,192.3048739,132.0674793,0,0.4,0.1
6.9,273.5274594,185.2370504,0,0.4,0.1
7,379.5846191,253.4469454,0,0.4,0.1
7.1,494.2625136,316.1868939,0,0.4,0.1
7.2,579.0451187,339.1839606,0,0.4,0.1
7.3,634.9178911,351.7019255,0,0.4,0.1
7.4,654.3015533,364.5365888,0,0.4,0.1
7.5,617.5873016,329.4444876,0,0.4,0.1
7.6,599.16,311.3412295,0,0.4,0.1
7.7,563.28125,349.6440126,0,0.4,0.1
7.8,602.5454545,321.804248,0,0.4,0.1
7.9,402.6,399.9381063,0,0.4,0.1
8,1,NA,0,0.4,0.1
8.1,NA,NA,0,0.4,0.1
8.2,NA,NA,0,0.4,0.1
8.3,NA,NA,0,0.4,0.1
8.4,NA,NA,0,0.4,0.1
8.5,NA,NA,0,0.4,0.1
8.6,NA,NA,0,0.4,0.1
8.7,NA,NA,0,0.4,0.1
8.8,NA,NA,0,0.4,0.1
8.9,NA,NA,0,0.4,0.1
9,NA,NA,0,0.4,0.1
9.1,NA,NA,0,0.4,0.1
9.2,NA,NA,0,0.4,0.1
9.3,NA,NA,0,0.4,0.1
9.4,NA,NA,0,0.4,0.1
9.5,NA,NA,0,0.4,0.1
9.6,NA,NA,0,0.4,0.1
9.7,NA,NA,0,0.4,0.1
9.8,NA,NA,0,0.4,0.1
9.9,NA,NA,0,0.4,0.1
10,NA,NA,0,0.4,0.1
1,NA,NA,0,0.4,0.5
1.1,NA,NA,0,0.4,0.5
1.2,0,NA,0,0.4,0.5
1.3,0,0,0,0.4,0.5
1.4,0,0,0,0.4,0.5
1.5,0,0,0,0.4,0.5
1.6,0,NA,0,0.4,0.5
1.7,0,0,0,0.4,0.5
1.8,0,0,0,0.4,0.5
1.9,0,0,0,0.4,0.5
2,0,0,0,0.4,0.5
2.1,0,0,0,0.4,0.5
2.2,0,0,0,0.4,0.5
2.3,0,0,0,0.4,0.5
2.4,0,0,0,0.4,0.5
2.5,0,0,0,0.4,0.5
2.6,0,0,0,0.4,0.5
2.7,0,0,0,0.4,0.5
2.8,0,0,0,0.4,0.5
2.9,0.004237288,0.065094455,0,0.4,0.5
3,0.003039514,0.055131785,0,0.4,0.5
3.1,0.004484305,0.066889669,0,0.4,0.5
3.2,0.005649718,0.075022649,0,0.4,0.5
3.3,0.012383901,0.110677468,0,0.4,0.5
3.4,0.009929078,0.099219228,0,0.4,0.5
3.5,0.012345679,0.121163209,0,0.4,0.5
3.6,0.010449321,0.101739611,0,0.4,0.5
3.7,0.017629775,0.131666036,0,0.4,0.5
3.8,0.036398467,0.20682705,0,0.4,0.5
3.9,0.033820841,0.195438908,0,0.4,0.5
4,0.032984714,0.183119389,0,0.4,0.5
4.1,0.074352548,0.303797899,0,0.4,0.5
4.2,0.094325153,0.317557358,0,0.4,0.5
4.3,0.134831461,0.396853719,0,0.4,0.5
4.4,0.161857847,0.433437533,0,0.4,0.5
4.5,0.231274639,0.575977189,0,0.4,0.5
4.6,0.347960445,0.68966138,0,0.4,0.5
4.7,0.489010989,0.802956405,0,0.4,0.5
4.8,0.636663525,0.935664457,0,0.4,0.5
4.9,0.884268341,1.201264895,0,0.4,0.5
5,1.150569106,1.466086646,0,0.4,0.5
5.1,1.620335316,1.733451903,0,0.4,0.5
5.2,2.152057661,2.181025697,0,0.4,0.5
5.3,2.779397473,2.651205605,0,0.4,0.5
5.4,3.70699149,3.290189453,0,0.4,0.5
5.5,4.914912028,4.199925787,0,0.4,0.5
5.6,6.5483831,5.117344906,0,0.4,0.5
5.7,8.556089044,6.365647141,0,0.4,0.5
5.8,11.58971648,8.312624208,0,0.4,0.5
5.9,15.17077618,10.20217219,0,0.4,0.5
6,20.24268824,13.48800067,0,0.4,0.5
6.1,26.63849183,17.16072075,0,0.4,0.5
6.2,35.3313669,22.44851541,0,0.4,0.5
6.3,47.48656472,29.68955365,0,0.4,0.5
6.4,63.76381695,39.14607291,0,0.4,0.5
6.5,86.23388895,53.12631228,0,0.4,0.5
6.6,115.8608776,72.64158663,0,0.4,0.5
6.7,159.1835623,102.9261816,0,0.4,0.5
6.8,220.7370041,147.5306081,0,0.4,0.5
6.9,300.9547146,198.9829824,0,0.4,0.5
7,407.5978282,262.0386602,0,0.4,0.5
7.1,511.6184167,302.9545929,0,0.4,0.5
7.2,615.5089111,342.1387673,0,0.4,0.5
7.3,685.579045,369.8419097,0,0.4,0.5
7.4,724.8409485,392.0832797,0,0.4,0.5
7.5,666.7150442,344.4565231,0,0.4,0.5
7.6,673.9545455,375.6721643,0,0.4,0.5
7.7,577.7804878,318.9493308,0,0.4,0.5
7.8,470.4827586,298.3574822,0,0.4,0.5
7.9,558,434.8559696,0,0.4,0.5
8,682,329.51176,0,0.4,0.5
8.1,337.6666667,158.3708727,0,0.4,0.5
8.2,844,NA,0,0.4,0.5
8.3,607,NA,0,0.4,0.5
8.4,NA,NA,0,0.4,0.5
8.5,NA,NA,0,0.4,0.5
8.6,NA,NA,0,0.4,0.5
8.7,NA,NA,0,0.4,0.5
8.8,NA,NA,0,0.4,0.5
8.9,NA,NA,0,0.4,0.5
9,NA,NA,0,0.4,0.5
9.1,NA,NA,0,0.4,0.5
9.2,NA,NA,0,0.4,0.5
9.3,NA,NA,0,0.4,0.5
9.4,NA,NA,0,0.4,0.5
9.5,NA,NA,0,0.4,0.5
9.6,NA,NA,0,0.4,0.5
9.7,NA,NA,0,0.4,0.5
9.8,NA,NA,0,0.4,0.5
9.9,NA,NA,0,0.4,0.5
