Density,Interference,Sociality,patch_value,residence_time,se
5,1,1,1.4,1,0
5,1,0.5,1.5,1,0
5,1,0.5,1.6,1,0
2,0.1,0.5,1.7,1,0
5,1,0.5,1.7,1,0
2,0.5,0.5,1.8,1,0
5,0.5,0,1.8,1,0
2,1,1,1.9,1,0
5,0.1,0.5,1.9,1,0
5,0.5,0,1.9,1,0
5,1,0,1.9,1,0
5,0.5,0,2,1,0
5,1,0.5,2,1,0
2,0.1,0.5,2.1,1,0
5,0.5,0,2.1,1,0
5,1,0.5,2.1,1,0
5,1,0,2.1,1,0
2,0.1,0.5,2.2,1,0
2,1,1,2.2,1,0
5,0.1,0.5,2.2,1,0
5,0.1,0,2.2,1,0
5,0.5,0,2.2,1,0
5,1,0,2.2,1,0
2,0.5,0,2.3,1,0
2,1,0.5,2.3,1,0
5,0.1,0,2.3,1,0
5,0.5,0,2.3,1,0
5,1,0,2.3,1,0
0.4,0.1,0,2.4,1,0
0.4,1,1,2.4,1,0
2,0.5,0.5,2.4,1,0
2,0.5,0,2.4,1,0
2,1,0.5,2.4,1,0
2,1,0,2.4,1,0
5,1,0,2.4,1,0
0.4,0.1,0.5,2.5,1,0
0.4,0.5,0.5,2.5,1,0
2,0.1,0.5,2.5,1,0
2,0.1,0,2.5,1,0
2,0.5,0.5,2.5,1,0
2,0.5,0,2.5,1,0
2,1,0.5,2.5,1,0
5,0.1,0,2.5,1,0
5,0.5,0,2.5,1,0
5,1,0,2.5,1,0
2,0.1,0.5,2.6,1,0
2,0.5,0,2.6,1,0
2,1,0.5,2.6,1,0
2,1,0,2.6,1,0
5,0.5,0,2.6,1,0
5,1,0,2.6,1,0
0.4,1,0.5,2.7,1,0
2,0.1,0,2.7,1,0
2,0.5,0,2.7,1,0
2,1,0.5,2.7,1,0
2,1,0,2.7,1,0
5,0.5,0,2.7,1,0
5,1,0,2.7,1,0
0.4,0.5,0.5,2.8,1,0
0.4,1,0.5,2.8,1,0
0.4,1,0,2.8,1,0
2,0.1,0,2.8,1,0
2,0.5,0,2.8,1,0
2,1,0,2.8,1,0
5,0.5,0,2.8,1,0
5,1,0,2.8,1,0
0.4,0.1,0.5,2.9,1,0
2,0.1,0,2.9,1,0
2,0.5,0,2.9,1,0
2,1,0,2.9,1,0
5,1,0,2.9,1,0
0.4,0.5,0.5,3,1,0
0.4,0.5,0,3,1,0
0.4,1,0.5,3,1,0
0.4,1,0,3,1,0
2,0.1,0,3,1,0
2,0.5,0,3,1,0
2,1,0,3,1,0
0.4,1,0.5,3.1,1,0
0.4,1,0,3.1,1,0
2,0.5,0,3.1,1,0
2,1,0,3.1,1,0
0.4,1,0.5,3.2,1,0
0.4,1,0,3.2,1,0
2,1,0,3.2,1,0
0.4,0.5,0.5,3.3,1,0
0.4,0.5,0,3.3,1,0
0.4,1,0,3.3,1,0
2,0.1,0,3.3,1,0
2,0.5,0,3.3,1,0
2,1,0,3.3,1,0
0.4,0.5,0.5,3.4,1,0
0.4,0.5,0,3.4,1,0
0.4,1,0.5,3.4,1,0
0.4,1,0,3.4,1,0
2,1,0,3.4,1,0
0.4,0.1,0,3.5,1,0
0.4,0.5,0.5,3.5,1,0
0.4,0.5,0,3.5,1,0
